,census_tract,score
143,8311,63.0391292073
144,8312,57.4001229311
145,8313,65.4509212284
146,8324,64.4588637714
147,8327,57.4837052506
148,8328,53.3214906258
149,8329,64.4685106937
150,8330,51.4131299522
151,8331,62.6017589886
152,8333,57.6031149188
153,8335,49.9041698417
154,8336,54.2349929522
155,8337,48.8205759975
156,8339,59.5325304652
157,8340,36.8564044774
158,8341,14.6902924856
159,8343,13.0583889203
160,8344,47.2189059145
161,8345,64.6854931032
162,8346,73.1283668811
163,8347,46.4878844683
164,8348,38.3946037197
165,8349,40.9996739737
166,8350,98.641675693
167,8351,34.1053435089
168,8352,34.2641618645
169,8353,37.8862292313
170,8354,38.0386473421
171,8355,42.4977639297
172,8356,37.3307476142
173,8357,37.0243771491
174,8358,42.9240655341
175,8359,19.7544016995
176,8360,54.9767557477
177,8361,30.0177459091
178,8362,37.4559148001
179,8363,10.2970117425
180,8364,34.8486243396
181,8365,60.1539963244
182,8366,58.0972598997
183,8501,60.5811585621
184,8502,53.1392389239
185,8503,58.1418444528
186,8504,43.5767093792
187,8505,54.674894006
188,8506,46.9876317911
189,8507,42.9922418979
190,8509,49.9682135428
191,8510,38.4194891315
192,8511,99.9930655732
193,8512,52.6435904856
194,8513,59.2483569035
195,8600,17.3066136149
196,8701,12.5316655832
197,8702,43.7618971449
198,8800,19.0458416967
199,8901,38.6590577953
200,8902,38.2594175519
201,9000,21.7407409997
202,9101,63.6238593179
203,9102,37.1374796991
204,9103,64.667307485
205,9104,62.3918711519
206,9106,30.2781360099
207,9107,36.0622458483
208,9201,7.73558027893
209,9202,41.9430464769
210,9301,41.9210960116
211,9304,66.5695828256
212,9305,32.729048012
213,9306,44.6729998888
214,9400,0.0257375686467
215,9502,48.405159807
216,9504,60.4627367743
217,9505,59.536572114
218,9506,56.4894392833
219,9507,53.1388400974
220,9509,48.9949708753
221,9510,0.744339518855
222,9511,0.350842238485
223,9602,62.8462561993
224,9603,55.4551533633
225,9604,61.1865648366
226,9703,60.495636126
227,9704,62.0022335952
228,9705,57.463459079
229,9706,70.7295570681
230,9801,54.1350890292
231,9802,44.8258713415
232,9804,55.9649897671
233,9805,63.4058524009
234,10001,26.4981210011
235,10003,32.3657192942
236,10004,25.0998457621
237,10005,26.8280036926
238,10009,16.0711996696
239,10010,24.6998773215
240,10011,28.6135848001
241,10012,14.412297474
242,10013,15.3240846228
243,10014,16.2296587714
244,10015,47.9343914364
245,10103,23.9615441126
246,10104,39.3388121104
247,10106,24.7100240439
248,10107,18.6408639497
249,10109,11.4394566724
250,10110,18.02433107
251,10111,16.796864328
252,10112,4.84715286958
253,10800,61.7240012246
254,11000,52.4849253668
255,11100,54.5191409026
256,11300,0.876346365934
257,11902,33.94731165
258,13205,2.83245572729
259,13313,17.0193296491
260,13421,45.8687656514
261,13604,36.2803992069
262,14102,34.3770244826
263,14500,43.8395685687
264,14803,45.1523021138
265,14806,27.1991830861
266,15000,23.5416351488
267,15501,52.6153778504
