,census_tract,code_simple,score
378,3209.0,21.0,29.4197012614
379,3211.0,21.0,43.1060346938
380,3212.0,21.0,57.1375190238
381,3213.0,21.0,56.6922654317
382,3214.0,21.0,30.9265982136
383,3301.0,21.0,14.9675483941
384,3303.0,21.0,11.7831725978
385,3304.0,21.0,9.16714529359
386,3305.0,21.0,5.2746732449
387,3401.0,21.0,41.7136024036
388,3403.0,21.0,13.0196992451
389,3404.0,21.0,12.4585386804
390,3501.0,21.0,13.8302022742
391,3502.0,21.0,9.45868673319
392,3601.0,21.0,12.2545315047
393,3602.0,21.0,16.3484619804
394,3603.0,21.0,21.7697794887
395,3800.0,21.0,0.0
396,3901.0,21.0,7.8052377785
397,3902.0,21.0,16.8705116233
398,4000.0,21.0,10.8520517227
399,4100.0,21.0,34.4544378746
400,4200.0,21.0,57.4080684244
401,4300.0,21.0,49.1660551019
402,4400.0,21.0,56.3046780646
403,4501.0,21.0,39.4621344911
404,4600.0,21.0,41.5485455768
405,4700.0,21.0,20.0335194924
406,4800.0,21.0,32.8408719711
407,4900.0,21.0,22.7225480446
408,5000.0,21.0,8.70135530687
409,5100.0,21.0,4.41452545996
410,5200.0,21.0,7.50527054361
411,5300.0,21.0,45.4362155862
412,5400.0,21.0,31.1409196663
413,5500.0,21.0,0.382168305429
414,5600.0,21.0,42.4125637658
415,5700.0,21.0,43.6168675075
416,5800.0,21.0,44.7893381749
417,5900.0,21.0,62.8593684002
418,6000.0,21.0,69.4675225904
419,6100.0,21.0,42.7610632131
420,6200.0,21.0,40.6476493704
421,6300.0,21.0,0.00777340311092
422,6500.0,21.0,68.8849667243
423,6600.0,21.0,2.75125509906
424,6801.0,21.0,36.6400099012
425,6802.0,21.0,44.7467047569
426,6900.0,21.0,62.0273638001
427,7002.0,21.0,72.2473182912
428,7100.0,21.0,78.6349771103
429,7200.0,21.0,46.2991009199
430,7301.0,21.0,56.5809914541
431,7302.0,21.0,64.6343623917
432,7400.0,21.0,45.2169641929
433,7501.0,21.0,47.5107292786
434,7502.0,21.0,57.2975679463
435,7600.0,21.0,37.618550029
436,7701.0,21.0,29.9671437429
437,7702.0,21.0,37.1500573817
438,7800.0,21.0,28.0977113574
439,7903.0,21.0,44.9942540331
440,7905.0,21.0,27.4924303297
